inv_id,source_type,genus,species,caste,identifier_level,onsite_id,onsite_id_time_s,protocol_time_s,protocol_comment,ia1_id,ia1_top1,ia1_top3,ia2_id,ia2_top1,ia2_top3,ia3_id,ia3_top1,ia3_top3,dd,mm,yyyy,capture_locality,photographer,specimen_state,device,device_type,n_photos
WB1_23_0121,terrain,Bombus,sylvarum,,pro,sylvarum,5.0,62.0,,lapidarius,0.0,0.0,Monticola,0.0,0.0,lapidarius,0.0,1.0,22,7,2023,S13,Mehdi Issertes,alive,Iphone 12,S,3
WB1_23_0122,terrain,Bombus,pratorum,,pro,pratorum,5.0,77.0,,lapidarius,0.0,1.0,sylvarum,0.0,0.0,lapidarius,0.0,0.0,22,7,2023,S13,Mehdi Issertes,alive,Iphone 12,S,3
WB1_23_0123,terrain,Bombus,pratorum,,pro,pratorum,5.0,53.0,,lapidarius,0.0,1.0,Monticola,0.0,0.0,lapidarius,0.0,0.0,22,7,2023,S13,Mehdi Issertes,alive,Iphone 12,S,3
WB1_23_0124,terrain,Bombus,pratorum,,pro,pratorum,5.0,48.0,,lapidarius,0.0,1.0,Lapidarius,0.0,1.0,lapidarius,0.0,1.0,22,7,2023,S13,Mehdi Issertes,alive,Iphone 12,S,3
WB1_23_0125,terrain,Bombus,confusus,,pro,confusus,5.0,48.0,,confusus,1.0,1.0,confusus,1.0,1.0,confusus,1.0,1.0,22,7,2023,S13,Mehdi Issertes,alive,Iphone 12,S,3
WB1_23_0126,terrain,Bombus,rupestris,,novice amateur,rupestris,480.0,150.0,left handed,,,,rupestris,1.0,1.0,Rupestris,1.0,1.0,25,7,2023,Site 1 fred,Tonie Reygrobellet,alive,Samsung A52S,S,3
WB1_23_0127,terrain,Bombus,lapidarius,,novice amateur,lapidarius,330.0,155.0,left handed,,,,lapidarius,1.0,1.0,Lapidarius,1.0,1.0,25,7,2023,Site 1 fred,Tonie Reygrobellet,alive,Samsung A52S,S,3
WB1_23_0128,terrain,Bombus,lapidarius,,novice amateur,lapidarius,340.0,130.0,left handed,,,,lapidarius,1.0,1.0,Lapidarius,1.0,1.0,25,7,2023,Site 1 fred,Tonie Reygrobellet,alive,Samsung A52S,S,3
WB1_23_0129,terrain,Bombus,sylvarum,,novice amateur,sylvarum,40.0,100.0,left handed,,,,pratorum,0.0,1.0,lapidarius,0.0,0.0,25,7,2023,Site 1 fred,Tonie Reygrobellet,alive,Samsung A52S,S,3
WB1_23_0130,terrain,Bombus,sylvarum,,novice amateur,sylvarum,142.0,135.0,left handed,,,,lapidarius,0.0,1.0,lapidarius,0.0,1.0,25,7,2023,Site 1 fred,Tonie Reygrobellet,alive,Samsung A52S,S,3
WB1_23_0131,terrain,Bombus,pratorum,,novice amateur,pratorum,190.0,104.0,left handed,,,,lapidarius,0.0,1.0,lapidarius,0.0,1.0,25,7,2023,Site 1 fred,Tonie Reygrobellet,alive,Samsung A52S,S,3
WB1_23_0132,terrain,Bombus,lapidarius,,novice amateur,lapidarius,163.0,105.0,left handed,,,,lapidarius,1.0,1.0,lapidarius,1.0,1.0,25,7,2023,Site 1 fred,Tonie Reygrobellet,alive,Samsung A52S,S,3
WB1_23_0133,terrain,Bombus,pratorum,,novice amateur,pratorum,64.0,100.0,left handed,,,,lapidarius,0.0,0.0,lapidarius,0.0,0.0,25,7,2023,Site 1 fred,Tonie Reygrobellet,alive,Samsung A52S,S,3
WB1_23_0134,terrain,Bombus,lapidarius,,novice amateur,lapidarius,149.0,220.0,left handed,,,,lapidarius,1.0,1.0,pratorum,0.0,1.0,25,7,2023,Site 1 fred,Tonie Reygrobellet,alive,Samsung A52S,S,3
WB1_23_0135,terrain,Bombus,lapidarius,,novice amateur,lapidarius,137.0,115.0,left handed,,,,lapidarius,1.0,1.0,lapidarius,1.0,1.0,25,7,2023,Site 1 fred,Tonie Reygrobellet,alive,Samsung A52S,S,3
WB1_23_0136,terrain,Bombus,rupestris,,pro,rupestris,,,,,,,,,,,,,27,5,2023,Col de la Chau,Adrien Perrard,alive,Pixel 7 Pro,S,1
WB1_23_0137,terrain,Bombus,rupestris,,pro,rupestris,,,,,,,,,,,,,27,5,2023,Col de la Chau,Adrien Perrard,alive,Pixel 7 Pro,S,1
WB1_23_0138,terrain,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,Adrien Perrard,alive,Pixel 7 Pro,S,1
WB1_23_0139,terrain,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,Adrien Perrard,alive,Pixel 7 Pro,S,1
WB1_23_0140,terrain,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,Adrien Perrard,alive,Pixel 7 Pro,S,1
WB1_23_0141,terrain,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,Adrien Perrard,alive,Pixel 7 Pro,S,1
WB1_23_0142,terrain,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,Adrien Perrard,alive,Pixel 7 Pro,S,1
WB1_23_0143,terrain,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,Adrien Perrard,alive,Pixel 7 Pro,S,1
WB1_23_0144,terrain,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,Adrien Perrard,alive,Pixel 7 Pro,S,1
WB1_23_0145,terrain,Bombus,lapidarius,,pro,lapidarius,,,,,,,,,,,,,27,5,2023,Col de la Chau,Adrien Perrard,alive,Pixel 7 Pro,S,1
