id,image,status,score,reason
1021561606712904189,data\images\crop\organized\organized_ABAURA8238b_S2_0e2d50de6c4cc9fd.jpg,OK,13.660327114668798,
1031583116996394398,data\images\crop\organized\organized_FR73ABOM200722037_P2_0e50eb611cdc3d9e.jpg,OK,13.584414974273168,
1042528475149763162,data\images\crop\organized\organized_CD387577_P2_0e77ce1fe588025a.jpg,OK,13.62291303061609,
1044977251111533666,data\images\crop\organized\organized_FR15ABOM200722063_S1_0e808145faddfc62.jpg,OK,13.562916918085222,
1045626385559222715,data\images\crop\organized\organized_OPIE_Lapi_7B_S3_0e82cfa85f0879bb.jpg,OK,13.478100935887168,
1055885739403919030,data\images\crop\organized\organized_FR04ABOM220722089_S2_0ea7427c54923eb6.jpg,OK,12.590801253242047,
1070448845019159740,data\images\crop\organized\organized_ABAURA4928_S2_0edaff8d95981cbc.jpg,OK,5.930568416808043,
1073172478980479401,data\images\crop\organized\organized_N815_P1_0ee4acaf085b59a9.jpg,FAILED,inf,"17 landmarks, 18 attendus"
1080361055498079119,data\images\crop\organized\organized_BAR-2018.00332_S1_0efe36a7ee210b8f.jpg,OK,13.598651629638276,
1081127507743857005,data\images\crop\terrain\terrain_WB1_23_0123_mehdi2_0f00efbd7ff9d96d.jpg,OK,12.397455428882346,
1081823674967067417,data\images\crop\organized\organized_2019.02080_S3_0f0368e690050b19.jpg,OK,13.699305789960675,
1091503173693854868,data\images\crop\organized\organized_VAN-2019.00814_P3_0f25cc5a7b3bd494.jpg,OK,6.056049818051122,
1106221453501318564,data\images\crop\organized\organized_N384_P1_0f5a168d0adcc5a4.jpg,OK,5.779647724209237,
1110132149540268925,data\images\crop\organized\organized_FR15ABOM220821084_S2_0f67fb4eeb16ab7d.jpg,OK,12.709828917034509,
1112492554669920711,data\images\crop\organized\organized_FR15_ABOM09082020078_P1_0f705e15905e11c7.jpg,OK,12.480596345984877,
1127804996636100631,data\images\crop\organized\organized_CD388391b_S3_0fa6c4ab4867c817.jpg,OK,13.61970192012523,
1146022556351873545,data\images\crop\organized\organized_CD388230b_S2_0fe77d716ff04209.jpg,OK,12.468355669648371,
1148815807867232900,data\images\crop\organized\organized_OPIE_Lapi_200703b_P1_0ff169e3fc47a284.jpg,OK,13.574988883770086,
1151557547667897780,data\images\crop\organized\organized_FR15ABOM210821119_P1_0ffb277d072a3db4.jpg,OK,12.440686772614795,
1171821448597858841,data\images\crop\organized\organized_FR15_ABOM180720046_P2_104325661fdbea19.jpg,OK,13.58281574216647,
1174592375917698402,data\images\crop\terrain\terrain_WB1_23_0008_charlotte3_104cfd8aea74dd62.jpg,FAILED,inf,"17 landmarks, 18 attendus"
1176262200439227632,data\images\crop\terrain\terrain_WB1_23_0093_basile2_1052ec3d3be644f0.jpg,OK,13.538931272263074,
1181971465516331510,data\images\crop\organized\organized_FR73ABOM130722066_S3_106734c918bfb1f6.jpg,OK,13.54871565985274,
1189354874402479125,data\images\crop\organized\organized_2020.00377_P1_10816ff4f0a39c15.jpg,OK,13.558401361094699,
1189599785375149279,data\images\crop\organized\organized_CD387804c_S2_10824eb3b82aacdf.jpg,OK,13.678507645684906,
1190892887419805972,data\images\crop\organized\organized_FR15ABOM220821068_P2_1086e6c580326114.jpg,OK,13.697005617712422,
1200749968542633037,data\images\crop\organized\organized_ABAURA5667_S1_10a9ebbc0b0b8c4d.jpg,OK,12.552227858995847,
1204767379267828195,data\images\crop\organized\organized_FR15ABOM210821048_S1_10b8318c5e3cb9e3.jpg,OK,13.536852871106062,
1204910054822803653,data\images\crop\terrain\terrain_WB1_23_0131_tonie2_10b8b34f9c0278c5.jpg,OK,13.444667950075736,
1206832898009368400,data\images\crop\organized\organized_ABAURA7781_S1_10bf88206d1a8750.jpg,OK,13.57026299743401,
1208756123725988144,data\images\crop\organized\organized_FR73ABOM130722046_S3_10c65d4a4ec40130.jpg,OK,12.556454795624424,
1209167610279896462,data\images\crop\organized\organized_FR15ABOM120722071_P2_10c7d388fca4258e.jpg,OK,12.57658431436348,
1214843473354037261,data\images\crop\organized\organized_ABAURA8207b_S3_10dbfdb3d6f8180d.jpg,OK,13.660816617254145,
1225226621808654650,data\images\crop\organized\organized_CollecYvan2_S1_1100e11efa41b93a.jpg,OK,13.643976672272188,
1228412014047139995,data\images\crop\organized\organized_OPIE_Lapi_180703_S2_110c3237e71a189b.jpg,OK,13.540733555300795,
1242502102427522643,data\images\crop\organized\organized_FR73ABOM140722039_S3_113e41143fde5653.jpg,OK,13.6648655770649,
1245230814897430973,data\images\crop\organized\organized_CD388018c_S3_1147f2d42154e1bd.jpg,OK,13.555298757266128,
1247575584416375346,data\images\crop\organized\organized_ABAURA8238d_S3_115047625396a232.jpg,OK,13.497995046928075,
1254801249479054820,data\images\crop\organized\organized_2020.00301_S3_1169f31692ea55e4.jpg,OK,13.683289888401204,
1268125850817992076,data\images\crop\organized\organized_ABAURA8207d_P1_119949be147f158c.jpg,OK,12.465785738853274,
1285304483904955744,data\images\crop\organized\organized_ABAURA8852b_P2_11d6519e475f2560.jpg,FAILED,inf,"16 landmarks, 18 attendus"
1287783957122681570,data\images\crop\organized\organized_CD388820b_S1_11df20af9fbe8ae2.jpg,OK,13.593444267803122,
1295341113320580847,data\images\crop\organized\organized_FR15ABOM200821209_P1_11f9f9e12a6ea6ef.jpg,OK,13.488096620553618,
1296412302014021735,data\images\crop\organized\organized_ABAURA8150b_S1_11fdc81eb7fe0067.jpg,OK,12.432322572312364,
1304348702088567740,data\images\crop\organized\organized_FR15ABOM210821210_P2_1219fa3bdb3b1bbc.jpg,OK,12.859362380412104,
1310097715237590330,data\images\crop\terrain\terrain_WB1_23_0134_tonie3_122e66ee49c9953a.jpg,OK,12.500616538745248,
1335828006066039312,data\images\crop\organized\organized_OPIE_Lapi_100803_P2_1289d07e7695aa10.jpg,OK,13.6040030766297,
1337160185689612837,data\images\crop\organized\organized_FR15ABOM210821014_P1_128e8c1ab3d32225.jpg,OK,13.619383125043239,
1338197413230909975,data\images\crop\organized\organized_FR15ABOM200821209_S3_12923b750ef99a17.jpg,OK,12.457941570418503,
1343206909353170991,data\images\crop\organized\organized_FR15ABOM210822013_S1_12a4079143d8982f.jpg,OK,13.501427050564473,
1346242556999902151,data\images\crop\organized\organized_FR15ABOM210821210_S1_12aed0790f7e23c7.jpg,OK,12.821946228289837,
1347982542538241873,data\images\crop\organized\organized_OPIE_Lapi_7B_S2_12b4fefb036b7751.jpg,OK,13.46070250443255,
1356807524180567006,data\images\crop\organized\organized_2020.04044_P1_12d459412b5c23de.jpg,OK,13.6351157568542,
1357971268633095089,data\images\crop\organized\organized_FR73ABOM130722021_P2_12d87bac8a0febb1.jpg,OK,13.615258550703011,
1362944279605787423,data\images\crop\organized\organized_FR73ABOM130722041_S2_12ea2699e28dbb1f.jpg,OK,13.640868639971163,
1363413050376779111,data\images\crop\organized\organized_FR05ABOM220722027_S3_12ebd0f215d6f567.jpg,OK,13.563604461858239,
